ROAD,ROAD_NAME,COMMON_USAGE_NAME,START_SLK,END_SLK,CWY,START_TRUE_DIST,END_TRUE_DIST,NETWORK_TYPE,RA_NO,RA_NAME,LG_NO,LG_NAME,SPEED_LIMIT,ROUTE_NE_ID,OBJECTID,GlobalID,GEOLOCSTLength
2110042,Hacket Rd,Hacket Rd,0,1.15,Single,0,1.15,Local Road,02,South West,211,Harvey,50km/h applies in built up areas or 110km/h outside built up areas,218243,22608035,{D867872B-F7BE-4193-B36F-C4CFBBA901E6},0.0108956862110478
2040149,Timperley Rd,Timperley Rd,0,1.03,Single,0,1.03,Local Road,02,South West,204,Bunbury (C),50km/h applies in built up areas or 110km/h outside built up areas,242482,22608036,{371D7F1C-77F0-4426-AF4E-6AA19B298C68},0.0111225302178563
2040145,Mossop St,Mossop St,0,0.39,Single,0,0.39,Local Road,02,South West,204,Bunbury (C),50km/h applies in built up areas or 110km/h outside built up areas,229682,22608037,{8BB53A62-3936-482C-BAFC-8E44464E58AE},0.00346037056763466
2040144,Guthrie St,Guthrie St,0,0.2,Single,0,0.2,Local Road,02,South West,204,Bunbury (C),50km/h applies in built up areas or 110km/h outside built up areas,218200,22608038,{69D5B583-F005-4AF3-A89C-AF421AA5F6F0},0.00186187342318932
2040136,Floreat St,Floreat St,0,0.38,Single,0,0.38,Local Road,02,South West,204,Bunbury (C),50km/h applies in built up areas or 110km/h outside built up areas,215255,22608039,{C6759312-694E-4350-8AC6-12DB80A53ACA},0.00399302442198515
2040132,Dunstan St,Dunstan St,0,1.22,Single,0,1.22,Local Road,02,South West,204,Bunbury (C),50km/h applies in built up areas or 110km/h outside built up areas,212950,22608040,{BA2E26E6-5F2E-422C-8BC9-C732E3F28EF1},0.011665710051107
2040129,Glenroy St,Glenroy St,0,0.24,Single,0,0.24,Local Road,02,South West,204,Bunbury (C),50km/h applies in built up areas or 110km/h outside built up areas,217005,22608041,{5EB8C33A-F9F9-478D-A740-58FBEAE25F96},0.00267158587932585
2040126,West Rd,West Rd,0,0.33,Single,0,0.33,Local Road,02,South West,204,Bunbury (C),50km/h applies in built up areas or 110km/h outside built up areas,245510,22608042,{2B6B9910-7D37-4C5A-B2E8-20CCA39AE246},0.0034445720775108
2040114,Jarvis St,Jarvis St,0,0.69,Single,0,0.69,Local Road,02,South West,204,Bunbury (C),50km/h applies in built up areas or 110km/h outside built up areas,221750,22608043,{0F0F5BCC-ABC6-4DDF-822B-039C93F2E1E8},0.00638940437233687
2040104,Alexander St,Alexander St,0,0.14,Single,0,0.14,Local Road,02,South West,204,Bunbury (C),50km/h applies in built up areas or 110km/h outside built up areas,200683,22608044,{775B6204-D344-4962-A3E4-EC1962D6B4B7},0.0014101418368377
2040068,Palm St,Palm St,0,0.23,Single,0,0.23,Local Road,02,South West,204,Bunbury (C),50km/h applies in built up areas or 110km/h outside built up areas,232503,22608045,{075D4384-A8B5-4D02-99D4-CC98E50CF350},0.00207818863436407
2040050,Sampson Rd,Sampson Rd,0,0.4,Single,0,0.4,Local Road,02,South West,204,Bunbury (C),50km/h applies in built up areas or 110km/h outside built up areas,237657,22608046,{A41D433C-0D25-410E-8633-B68B901B2F0E},0.00427391426458312
2040045,Turner St,Turner St,0,0.14,Single,0,0.14,Local Road,02,South West,204,Bunbury (C),50km/h applies in built up areas or 110km/h outside built up areas,243298,22608047,{A80D71F4-C92E-41F7-A5A4-6731E3898762},0.00129083419557035
2040042,Edward St,Edward St,0.03,0.17,Right,0.03,0.17,Local Road,02,South West,204,Bunbury (C),50km/h applies in built up areas or 110km/h outside built up areas,213397,22608048,{5AA443DF-FDDD-4D5D-A365-C053E3BF9799},0.0014185998056333
2040042,Edward St,Edward St,0.03,0.17,Left,0.03,0.17,Local Road,02,South West,204,Bunbury (C),50km/h applies in built up areas or 110km/h outside built up areas,213397,22608049,{BEE6F310-8C1F-4A7A-89A5-5EB54BE76CDD},0.00140606452429473
2040042,Edward St,Edward St,0,0.03,Single,0,0.03,Local Road,02,South West,204,Bunbury (C),50km/h applies in built up areas or 110km/h outside built up areas,213397,22608050,{4B353447-6DA9-4FB2-8DD2-3450FB87E125},0.000447814693818772
2040036,Eliot St,Eliot St,0,0.16,Single,0,0.16,Local Road,02,South West,204,Bunbury (C),50km/h applies in built up areas or 110km/h outside built up areas,213604,22608051,{23FA275C-905E-43F5-BDAF-6B76CBA7A30C},0.00166403333901096
2040035,Ivey St,Ivey St,0,0.06,Single,0,0.06,Local Road,02,South West,204,Bunbury (C),50km/h applies in built up areas or 110km/h outside built up areas,221395,22608052,{407AA25A-DB95-45BB-8E80-CA39540873DD},0.000628012738724303
2040283,Richter Rd,Richter Rd,0,0.61,Single,0,0.61,Local Road,02,South West,204,Bunbury (C),50km/h applies in built up areas or 110km/h outside built up areas,236035,22608053,{2C727BC1-273C-45F6-9EC0-7FEFD9DA722D},0.0055756034206896
2040262,Nash St,Nash St,0,0.14,Single,0,0.14,Local Road,02,South West,204,Bunbury (C),50km/h applies in built up areas or 110km/h outside built up areas,230470,22608054,{97C9BF32-DDF6-4F0F-A106-AEADDF37CDCF},0.00122916963841449
3150157,Unicorn St,Unicorn St,0,1.05,Single,0,1.05,Local Road,08,Wheatbelt,315,Wagin,50km/h applies in built up areas or 110km/h outside built up areas,243544,22608055,{86DC75E2-E954-44F3-9A14-91607C6AABA2},0.00976991699175269
3150112,Union St,Union St,0,0.43,Single,0,0.43,Local Road,08,Wheatbelt,315,Wagin,50km/h applies in built up areas or 110km/h outside built up areas,243552,22608056,{968ACD56-0490-49D0-AA19-D172CBF747DB},0.00413520029978267
3150154,Vesper St,Vesper St,0,0.23,Single,0,0.23,Local Road,08,Wheatbelt,315,Wagin,50km/h applies in built up areas or 110km/h outside built up areas,243967,22608057,{C91FA8D6-2147-4C38-85BF-EFD6D944D112},0.00210511496123133
3150052,Kennetts Rd,Kennetts Rd,0,1.02,Single,0,1.02,Local Road,08,Wheatbelt,315,Wagin,50km/h applies in built up areas or 110km/h outside built up areas,222954,22608058,{8DA530C0-6D1A-4AC4-8A9B-7A99047B701E},0.0112065346577203
3150201,Hantke St,Hantke St,0,0.22,Single,0,0.22,Local Road,08,Wheatbelt,315,Wagin,50km/h applies in built up areas or 110km/h outside built up areas,218677,22608059,{A622023F-A08F-4BC4-B768-3533CA81397B},0.00236531985152114
3150121,Bedford L,Bedford L,0,0.16,Single,0,0.16,Local Road,08,Wheatbelt,315,Wagin,50km/h applies in built up areas or 110km/h outside built up areas,203322,22608060,{4A1BD76F-EB3A-4AEB-9FD6-A319756C6A96},0.0015336313116261
3150118,Urban St,Urban St,0,0.7,Single,0,0.7,Local Road,08,Wheatbelt,315,Wagin,50km/h applies in built up areas or 110km/h outside built up areas,243697,22608061,{FA39E183-7800-4C5F-B153-EEB7E79004BC},0.0072124094707283
3150116,Upland St,Upland St,0,1.34,Single,0,1.34,Local Road,08,Wheatbelt,315,Wagin,50km/h applies in built up areas or 110km/h outside built up areas,243665,22608062,{179B8EE7-B6C8-4A7C-B616-5D6A0AF736C3},0.0140356598339514
3150115,Ranford St,Ranford St,0,0.29,Single,0,0.29,Local Road,08,Wheatbelt,315,Wagin,50km/h applies in built up areas or 110km/h outside built up areas,235300,22608063,{AA30B754-89FF-4C1C-B9FF-28D329BDB224},0.00272882637124335
3150114,Strickland St,Strickland St,0,0.2,Single,0,0.2,Local Road,08,Wheatbelt,315,Wagin,50km/h applies in built up areas or 110km/h outside built up areas,240718,22608064,{3AA831C3-0694-441C-8DB4-1B134F05E4AD},0.00188650304070481
3150173,Kirks Rd,Kirks Rd,0,1.3,Single,0,1.3,Local Road,08,Wheatbelt,315,Wagin,50km/h applies in built up areas or 110km/h outside built up areas,223492,22608065,{5A44542F-7CE1-43DD-B17A-2BB7D4F4928F},0.0118330108172012
3150171,Venice St,Venice St,0,0.21,Single,0,0.21,Local Road,08,Wheatbelt,315,Wagin,50km/h applies in built up areas or 110km/h outside built up areas,243876,22608066,{61B4E19F-4DC2-43E1-97F1-98E942E35E9F},0.00206192749630049
3150164,Omdurman St,Omdurman St,0,1.13,Single,0,1.13,Local Road,08,Wheatbelt,315,Wagin,50km/h applies in built up areas or 110km/h outside built up areas,231963,22608067,{FBD21E3C-1DB4-4E7A-9F7E-6C2F7E351780},0.0117052318751254
3150149,Nenke St,Nenke St,0,0.58,Single,0,0.58,Local Road,08,Wheatbelt,315,Wagin,50km/h applies in built up areas or 110km/h outside built up areas,230612,22608068,{A14009CC-1758-407C-A479-90649516DCC8},0.0054297150715578
3150141,Tasman St,Tasman St,0,0.18,Single,0,0.18,Local Road,08,Wheatbelt,315,Wagin,50km/h applies in built up areas or 110km/h outside built up areas,241585,22608069,{7ADF7FEF-9768-4C1E-8233-1E516A08549B},0.00209082400024488
3150100,Riseborough Rd,Riseborough Rd,0,8.46,Single,0,8.46,Local Road,08,Wheatbelt,315,Wagin,50km/h applies in built up areas or 110km/h outside built up areas,236196,22608070,{A212AFE6-C563-4B39-95A5-8D062A988BA1},0.0859972182592969
3150089,Dwelyerdine Rd,Dwelyerdine Rd,0,7.19,Single,0,7.19,Local Road,08,Wheatbelt,315,Wagin,50km/h applies in built up areas or 110km/h outside built up areas,213042,22608071,{E37BD659-0319-4481-9B31-A96E98DA4ED1},0.0753521505098762
3150044,Jessup Rd,Jessup Rd,0,6.79,Single,0,6.79,Local Road,08,Wheatbelt,315,Wagin,50km/h applies in built up areas or 110km/h outside built up areas,221933,22608072,{14E45622-D539-465E-8C12-5A3F20D922A4},0.0668418161017806
3150039,Gundaring Nth Rd,Gundaring Nth Rd,0,7.56,Single,0,7.56,Local Road,08,Wheatbelt,315,Wagin,50km/h applies in built up areas or 110km/h outside built up areas,218161,22608073,{5CF7FE5D-9959-4D35-8335-216030C41107},0.0688121946221611
3150038,Nallian Rd,Nallian Rd,0,6.5,Single,0,6.5,Local Road,08,Wheatbelt,315,Wagin,50km/h applies in built up areas or 110km/h outside built up areas,230290,22608074,{ED3EB1E0-F769-40C0-9646-5BF1DE8DA2FF},0.0692045518117179
3150033,Urquhart Rd,Urquhart Rd,0,4.18,Single,0,4.18,Local Road,08,Wheatbelt,315,Wagin,50km/h applies in built up areas or 110km/h outside built up areas,243709,22608075,{374941A4-7871-43C1-94D6-6059F7E5FED1},0.042436220030924
3150032,Lime Lake East Rd,Lime Lake East Rd,0,4.25,Single,0,4.25,Local Road,08,Wheatbelt,315,Wagin,50km/h applies in built up areas or 110km/h outside built up areas,225275,22608076,{57BE74BE-660F-4C5D-ACDE-B25BC073EB89},0.0453751199768963
3150050,Boddington Rd,Boddington Rd,0,3.22,Single,0,3.22,Local Road,08,Wheatbelt,315,Wagin,50km/h applies in built up areas or 110km/h outside built up areas,204509,22608077,{1AE59B49-022F-4423-A0EC-EF1604055A1F},0.0336150017997917
3150206,Phillips Rd,Phillips Rd,0,1.97,Single,0,1.97,Local Road,08,Wheatbelt,315,Wagin,50km/h applies in built up areas or 110km/h outside built up areas,233635,22608078,{3B8B0EE7-1F43-4355-9B63-EA7C96596A94},0.019025754363201
3150194,Hunt St,Hunt St,0,0.22,Single,0,0.22,Local Road,08,Wheatbelt,315,Wagin,50km/h applies in built up areas or 110km/h outside built up areas,220865,22608079,{9084A390-BBBD-4BA1-B7D7-4D8A350F321F},0.00212083912658343
3150182,Fisher L,Fisher L,0,0.13,Single,0,0.13,Local Road,08,Wheatbelt,315,Wagin,50km/h applies in built up areas or 110km/h outside built up areas,215033,22608080,{5B998190-863E-4099-868D-2A8B234FF2A9},0.00136218794591642
3150179,Throssell L,Throssell L,0,0.05,Single,0,0.05,Local Road,08,Wheatbelt,315,Wagin,50km/h applies in built up areas or 110km/h outside built up areas,242334,22608081,{F5BEED5D-4548-4EE5-A97E-50154F9FE9E0},0.000588086226323271
3150178,Jenz Rd,Jenz Rd,0,5.54,Single,0,5.54,Local Road,08,Wheatbelt,315,Wagin,50km/h applies in built up areas or 110km/h outside built up areas,221891,22608082,{A240283F-22F4-4A3B-88AD-98E9153B6235},0.0592905496179389
3150021,Rowells Rd,Rowells Rd,0,12.87,Single,0,12.87,Local Road,08,Wheatbelt,315,Wagin,50km/h applies in built up areas or 110km/h outside built up areas,237174,22608083,{E49F5BBF-CF98-4F0D-BB9A-8B0AC98E35EE},0.117637235387427
3150017,Ballaying Rd,Ballaying Rd,0,1.15,Single,0,1.15,Local Road,08,Wheatbelt,315,Wagin,50km/h applies in built up areas or 110km/h outside built up areas,202364,22608084,{2FC3B980-961B-45AA-BE09-D2355E4EF239},0.0104819086842171
3150070,Jeffris Rd,Jeffris Rd,0,3.38,Single,0,3.38,Local Road,08,Wheatbelt,315,Wagin,50km/h applies in built up areas or 110km/h outside built up areas,221828,22608085,{7103F7B1-2D37-4268-8476-BD4E7B55708A},0.0310786409647543
3150065,Bolts Rd,Bolts Rd,0,6.7,Single,0,6.7,Local Road,08,Wheatbelt,315,Wagin,50km/h applies in built up areas or 110km/h outside built up areas,204583,22608086,{D8930F68-4225-47D8-A5F6-32CF93030273},0.0617357098451235
3150126,Rifle St,Rifle St,2.11,3.02,Single,2.11,3.02,Local Road,08,Wheatbelt,315,Wagin,50km/h applies in built up areas or 110km/h outside built up areas,236127,22608087,{113FA43D-E77F-47B2-832E-00E930E834D6},0.00932616384702325
3150126,Rifle St,Rifle St,0,2.05,Single,0,2.05,Local Road,08,Wheatbelt,315,Wagin,50km/h applies in built up areas or 110km/h outside built up areas,236127,22608088,{8B567ECE-4D83-4BB0-B3DA-F3FD2B331135},0.0184330706142727
3150139,Trimdon St,Trimdon St,0,0.34,Single,0,0.34,Local Road,08,Wheatbelt,315,Wagin,50km/h applies in built up areas or 110km/h outside built up areas,243030,22608089,{376E6968-44AD-49E4-8BFF-FCEA27241E71},0.00355510018449249
3150135,Taylor L,Taylor L,0,0.21,Single,0,0.21,Local Road,08,Wheatbelt,315,Wagin,50km/h applies in built up areas or 110km/h outside built up areas,241641,22608090,{C1004ED9-47A4-4FB9-A9C7-CB00E7C2201E},0.00187300667377348
3150092,Ball Rd,Ball Rd,1.8,6.66,Single,1.8,6.66,Local Road,08,Wheatbelt,315,Wagin,50km/h applies in built up areas or 110km/h outside built up areas,202331,22608091,{69B1E396-750F-493A-BD9A-62C507DB2D9E},0.0454756841586884
3150092,Ball Rd,Ball Rd,0,1.6,Single,0,1.6,Local Road,08,Wheatbelt,315,Wagin,50km/h applies in built up areas or 110km/h outside built up areas,202331,22608092,{3C8FC2D3-257C-4B8F-AC45-4E3D58DF591E},0.0155943397744182
3150084,Halls Rd,Halls Rd,0,2.03,Single,0,2.03,Local Road,08,Wheatbelt,315,Wagin,50km/h applies in built up areas or 110km/h outside built up areas,218461,22608093,{7C2C93AD-9F9B-4354-AA7E-B3DC394F6B87},0.0188401741233992
3150035,Queerearrup Rd,Queerearrup Rd,0,5.95,Single,0,5.95,Local Road,08,Wheatbelt,315,Wagin,50km/h applies in built up areas or 110km/h outside built up areas,234919,22608094,{389B9E2C-B004-43FD-B3D9-19D2969DBBB5},0.0561089542877151
3150159,Khedive St,Khedive St,0,1.37,Single,0,1.37,Local Road,08,Wheatbelt,315,Wagin,50km/h applies in built up areas or 110km/h outside built up areas,223116,22608095,{D71254A0-E380-4320-AFB1-ED2215F615F8},0.0129400489194712
3150152,Ventnor St,Ventnor St,0,2.37,Single,0,2.37,Local Road,08,Wheatbelt,315,Wagin,50km/h applies in built up areas or 110km/h outside built up areas,243892,22608096,{3BCF54E3-8E29-4BAF-9D43-50685A52BB5A},0.0215854130375741
3150209,Sirdar St,Sirdar St,0,0.34,Single,0,0.34,Local Road,08,Wheatbelt,315,Wagin,50km/h applies in built up areas or 110km/h outside built up areas,239203,22608097,{E9CB4059-E423-49EB-ACAA-6D1F87F22E2C},0.00367509578921522
3150199,Bedford St,Bedford St,0,0.18,Single,0,0.18,Local Road,08,Wheatbelt,315,Wagin,50km/h applies in built up areas or 110km/h outside built up areas,203326,22608098,{F0FC0370-14E8-4E74-B97C-33E5DAF02AA1},0.00179236826573113
3150197,Andrews St,Andrews St,0,1.45,Single,0,1.45,Local Road,08,Wheatbelt,315,Wagin,50km/h applies in built up areas or 110km/h outside built up areas,201128,22608099,{2B37CCC2-FA64-4C36-AB5C-6ABDAF9099D3},0.0148896988666038
3150189,Charles St,Charles St,0,0.12,Single,0,0.12,Local Road,08,Wheatbelt,315,Wagin,50km/h applies in built up areas or 110km/h outside built up areas,208073,22608100,{6F0A228B-100A-4C37-96FB-B16ED8FBBD31},0.00121271307406163
4240172,Wilson Rd,Wilson Rd,0,4.77,Single,0,4.77,Local Road,08,Wheatbelt,424,Quairading,50km/h applies in built up areas or 110km/h outside built up areas,9585694,22608101,{06FB37B5-5201-49AE-8F4C-9D97E58F8A1D},0.0457854841784481
4240026,Carter - Doodenanning Rd,Carter - Doodenanning Rd,0,4.22,Single,0,4.22,Local Road,08,Wheatbelt,424,Quairading,50km/h applies in built up areas or 110km/h outside built up areas,207468,22608102,{9283CFA5-14EC-415A-96A8-E3805ED81A35},0.0397055980915521
4240149,Boyle Rd,Boyle Rd,0,0.89,Single,0,0.89,Local Road,08,Wheatbelt,424,Quairading,50km/h applies in built up areas or 110km/h outside built up areas,205048,22608103,{8B72F78F-9CB5-4009-90C0-AB778938EC77},0.00934636593112276
4240077,Powell Rd,Powell Rd,0,2,Single,0,2,Local Road,08,Wheatbelt,424,Quairading,50km/h applies in built up areas or 110km/h outside built up areas,234386,22608104,{D12225A8-9A90-429B-BC94-820875323225},0.0207903754163735
4240074,Blechynden Rd,Blechynden Rd,0,2.38,Single,0,2.38,Local Road,08,Wheatbelt,424,Quairading,50km/h applies in built up areas or 110km/h outside built up areas,204339,22608105,{241CB4F7-9AF9-4D9A-B9FF-27C6323D2F43},0.0246181858707353
4240059,Green Rd,Green Rd,0,1.94,Single,0,1.94,Local Road,08,Wheatbelt,424,Quairading,50km/h applies in built up areas or 110km/h outside built up areas,217704,22608106,{1D3A027E-3DD5-46D6-992E-B8A981FBE544},0.0184649470693866
4240082,Clemens Rd,Clemens Rd,0,2.51,Single,0,2.51,Local Road,08,Wheatbelt,424,Quairading,50km/h applies in built up areas or 110km/h outside built up areas,208755,22608107,{8A7F0C96-D7DD-41A5-A6EA-9322D01AA2CF},0.025951280757271
4240090,Johnston Rd,Johnston Rd,0,4.27,Single,0,4.27,Local Road,08,Wheatbelt,424,Quairading,50km/h applies in built up areas or 110km/h outside built up areas,222095,22608108,{B515BBAE-7A17-49CC-A811-3A15AE8FA234},0.0441152991387475
4240089,Dulbelling West Rd,Dulbelling West Rd,0,1.81,Single,0,1.81,Local Road,08,Wheatbelt,424,Quairading,50km/h applies in built up areas or 110km/h outside built up areas,212794,22608109,{39AE52EB-4F86-415E-A564-107667F14EC4},0.0160535350159347
4240085,Parker North Rd,Parker North Rd,0,1.61,Single,0,1.61,Local Road,08,Wheatbelt,424,Quairading,50km/h applies in built up areas or 110km/h outside built up areas,232739,22608110,{D43E4567-FC90-47AB-97E5-19F1F116E4CE},0.0133161956202443
4240084,Parker Rd,Parker Rd,0.1,4.13,Single,0.1,4.13,Local Road,08,Wheatbelt,424,Quairading,50km/h applies in built up areas or 110km/h outside built up areas,232746,22608111,{85D17E0F-4C4B-4994-A8CC-AACFD8E6ED7B},0.0405197094254982
4240066,Minchin South Rd,Minchin South Rd,0,1.51,Single,0,1.51,Local Road,08,Wheatbelt,424,Quairading,50km/h applies in built up areas or 110km/h outside built up areas,228822,22608112,{D6AFFD65-18A6-4F8E-9E73-4969F9097713},0.0151009702203587
4240065,Bloom Rd,Bloom Rd,0,2.39,Single,0,2.39,Local Road,08,Wheatbelt,424,Quairading,50km/h applies in built up areas or 110km/h outside built up areas,204380,22608113,{78C769E5-AD2C-436C-B00E-4DA7E13B3DD0},0.0235470982701692
4240034,Stones Rd,Stones Rd,0,8.73,Single,0,8.73,Local Road,08,Wheatbelt,424,Quairading,50km/h applies in built up areas or 110km/h outside built up areas,240598,22608114,{3815F3A4-E704-42A0-BE06-B328CD37DD83},0.0808345243422063
4240049,Manning Rd,Manning Rd,0,2.68,Single,0,2.68,Local Road,08,Wheatbelt,424,Quairading,50km/h applies in built up areas or 110km/h outside built up areas,226712,22608115,{2C89BB7F-8308-4104-8450-0DFF1130983F},0.0262287172021671
4240044,Homebush Rd,Homebush Rd,0,8.1,Single,0,8.1,Local Road,08,Wheatbelt,424,Quairading,50km/h applies in built up areas or 110km/h outside built up areas,220338,22608116,{25E86647-6DB8-427D-AB39-DBC7E7DB10F5},0.0769649447742191
4240052,Geyer St,Geyer St,0,2.21,Single,0,2.21,Local Road,08,Wheatbelt,424,Quairading,50km/h applies in built up areas or 110km/h outside built up areas,216565,22608117,{C1EAB16F-F58C-43E9-8BC1-C2047DDAF23B},0.0233246175439204
4240099,Burrows Rd,Burrows Rd,0,3.14,Single,0,3.14,Local Road,08,Wheatbelt,424,Quairading,50km/h applies in built up areas or 110km/h outside built up areas,206275,22608118,{A1B0B69D-C90B-4646-80F8-96FCA7F3BF59},0.0326612690345927
4240131,Macdonald St,Macdonald St,0.88,0.91,Single,0.88,0.91,Local Road,08,Wheatbelt,424,Quairading,50km/h applies in built up areas or 110km/h outside built up areas,226202,22608119,{A9DEEB25-5DE8-47CD-B794-1526E2E55D2F},0.000380663893743549
4240131,Macdonald St,Macdonald St,0,0.19,Single,0,0.19,Local Road,08,Wheatbelt,424,Quairading,50km/h applies in built up areas or 110km/h outside built up areas,226202,22608120,{96EB078B-79B1-4A8C-AA95-359A4D136F13},0.00201091811478155
4240112,Brighouse Rd,Brighouse Rd,0,2.97,Single,0,2.97,Local Road,08,Wheatbelt,424,Quairading,50km/h applies in built up areas or 110km/h outside built up areas,205443,22608121,{26EA5F71-0891-431E-8729-514CF712208C},0.0265118259562302
4240103,Blake North Rd,Blake North Rd,0,2.04,Single,0,2.04,Local Road,08,Wheatbelt,424,Quairading,50km/h applies in built up areas or 110km/h outside built up areas,204292,22608122,{FAD54BA1-B991-477E-8DC2-2F6D75FCB45C},0.0187583926475216
4240109,Harvey Rd,Harvey Rd,0,6.48,Single,0,6.48,Local Road,08,Wheatbelt,424,Quairading,50km/h applies in built up areas or 110km/h outside built up areas,219030,22608123,{C1A965C3-478F-4111-88FF-3D1B16721019},0.0639783104609644
4240171,Forrest St,Forrest St,0,0.21,Single,0,0.21,Local Road,08,Wheatbelt,424,Quairading,50km/h applies in built up areas or 110km/h outside built up areas,12794055,22608124,{DD7879D3-A9AC-48DA-AA1D-6756D2A872F8},0.00220942566359689
4240170,Parker St,Parker St,0,0.25,Single,0,0.25,Local Road,08,Wheatbelt,424,Quairading,50km/h applies in built up areas or 110km/h outside built up areas,12794047,22608125,{0DD4A634-6DBB-4A4F-9283-ED1ECEBB743A},0.00224539300309964
1180171,Pearse St,Pearse St,0,0.41,Single,0,0.41,Local Road,07,Metropolitan,118,Fremantle (C),50km/h applies in built up areas or 110km/h outside built up areas,233161,22608126,{2FE48D84-3439-4D21-91A6-803AD7BA03B4},0.00364912969379146
4240025,Bellacabella - Doodenanning Rd,Bellacabella - Doodenanning Rd,7.04,8.58,Single,7.04,8.58,Local Road,08,Wheatbelt,424,Quairading,50km/h applies in built up areas or 110km/h outside built up areas,203498,22608127,{E0835D8D-8DDC-4380-A852-D70E6A228AA6},0.0157444007439372
4240025,Bellacabella - Doodenanning Rd,Bellacabella - Doodenanning Rd,0,6.98,Single,0,6.98,Local Road,08,Wheatbelt,424,Quairading,50km/h applies in built up areas or 110km/h outside built up areas,203498,22608128,{B9EF1D60-E274-40E5-A998-9322B6AA61BD},0.0717538454308608
4240023,Dangin South Rd,Dangin South Rd,14.3,15.46,Single,14.3,15.46,Local Road,08,Wheatbelt,424,Quairading,50km/h applies in built up areas or 110km/h outside built up areas,211191,22608129,{A21D220F-8B86-4585-9343-6F24B3F26EBB},0.0108830155832591
4240023,Dangin South Rd,Dangin South Rd,0,14.28,Single,0,14.28,Local Road,08,Wheatbelt,424,Quairading,50km/h applies in built up areas or 110km/h outside built up areas,211191,22608130,{82439BE4-2CB4-495E-BB41-41E7F6B892CF},0.133452986044067
4240095,Haythornthwaites North Rd,Haythornthwaites North Rd,0,3.7,Single,0,3.7,Local Road,08,Wheatbelt,424,Quairading,50km/h applies in built up areas or 110km/h outside built up areas,219266,22608131,{DC7AED6C-477F-424A-A7EA-21CA7387FE19},0.0320279280861335
4240067,Williams Rd,Williams Rd,0,1.03,Single,0,1.03,Local Road,08,Wheatbelt,424,Quairading,50km/h applies in built up areas or 110km/h outside built up areas,246140,22608132,{ED9C5B58-7484-4E70-932A-C61425E1BC57},0.0110230524356913
4240037,Bland Rd,Bland Rd,4.82,6.14,Single,4.82,6.14,Local Road,08,Wheatbelt,424,Quairading,50km/h applies in built up areas or 110km/h outside built up areas,204319,22608133,{4B88CE17-BAF3-4679-8983-8BB8705037AF},0.0124242424316334
4240037,Bland Rd,Bland Rd,4.14,4.79,Single,4.14,4.79,Local Road,08,Wheatbelt,424,Quairading,50km/h applies in built up areas or 110km/h outside built up areas,204319,22608134,{1E867A8C-633C-4ED2-BA95-5D5353531F17},0.00611797229480487
4240037,Bland Rd,Bland Rd,0,4.08,Single,0,4.08,Local Road,08,Wheatbelt,424,Quairading,50km/h applies in built up areas or 110km/h outside built up areas,204319,22608135,{55FB280C-C9AB-4737-919C-85EFEDD7854B},0.0379313046811967
4240035,Yoting Rd,Yoting Rd,0,10.45,Single,0,10.45,Local Road,08,Wheatbelt,424,Quairading,50km/h applies in built up areas or 110km/h outside built up areas,247405,22608136,{46E99CFE-F2E5-4D48-9D6E-4C4BBDE2D207},0.106237101866489
4240101,Church Rd,Church Rd,0,3.49,Single,0,3.49,Local Road,08,Wheatbelt,424,Quairading,50km/h applies in built up areas or 110km/h outside built up areas,208485,22608137,{6EFC68E3-B7B8-430F-B54E-3BB1E58C8344},0.037567376836421
4240100,Haythornthwaites Rd,Haythornthwaites Rd,0,2.66,Single,0,2.66,Local Road,08,Wheatbelt,424,Quairading,50km/h applies in built up areas or 110km/h outside built up areas,219267,22608138,{6B56A9AF-CB46-4F3C-8002-D73AF24C53DF},0.028391122306806
4240116,Rubbish Tip Rd,Rubbish Tip Rd,0,0.37,Single,0,0.37,Local Road,08,Wheatbelt,424,Quairading,50km/h applies in built up areas or 110km/h outside built up areas,237254,22608139,{525B1C68-6641-421F-9E92-1DE46DE7EF5C},0.00392261647373281
4240110,Horsley Rd,Horsley Rd,0,5.78,Single,0,5.78,Local Road,08,Wheatbelt,424,Quairading,50km/h applies in built up areas or 110km/h outside built up areas,220539,22608140,{01711EC2-C6E4-4786-AE13-19C3D7F10034},0.0542628203190759
4240122,Brown Rd,Brown Rd,0,3.03,Single,0,3.03,Local Road,08,Wheatbelt,424,Quairading,50km/h applies in built up areas or 110km/h outside built up areas,205752,22608141,{3426775D-C969-4277-B7A1-4827C7011CE9},0.0322349652469896
4240105,Andrews Rd,Andrews Rd,5.71,6.79,Single,5.71,6.79,Local Road,08,Wheatbelt,424,Quairading,50km/h applies in built up areas or 110km/h outside built up areas,201121,22608142,{1C246CE2-51C7-4872-B25E-240E55FE20E9},0.0115419737433659
4240105,Andrews Rd,Andrews Rd,0,5.67,Single,0,5.67,Local Road,08,Wheatbelt,424,Quairading,50km/h applies in built up areas or 110km/h outside built up areas,201121,22608143,{2E76AF69-5614-4666-B3F9-29434B23E143},0.0596129967214005
4240106,Stockpool Rd,Stockpool Rd,0,5.51,Single,0,5.51,Local Road,08,Wheatbelt,424,Quairading,50km/h applies in built up areas or 110km/h outside built up areas,240520,22608144,{07874A68-9460-4AE8-A277-0238DC49B510},0.0528770684457416
